pond_id,treatment,period,doy,GPP,R,NEP,dosat_dailyavg
A,pulsed,PULSE1,194,4.548181633,-7.605630382,-3.057448749,15.794278958333333
B,pulsed,PULSE1,194,9.254726902,-13.35121496,-4.096488059,44.8393265625
C,pulsed,PULSE1,194,5.642592076,-7.137778128,-1.495186052,82.06746420833333
D,reference,PULSE1,194,4.028581853,-7.786418974,-3.757837122,27.4595468125
E,reference,PULSE1,194,13.25019754,-17.60442575,-4.354228207,104.24733
F,reference,PULSE1,194,11.05107836,-10.57693466,0.474143703,87.99755497916667
A,pulsed,PULSE1,195,6.52437838,-7.445951723,-0.921573342,25.5365849375
B,pulsed,PULSE1,195,5.823895423,-5.626047281,0.197848141,46.5944751875
C,pulsed,PULSE1,195,6.106560289,-6.354658405,-0.248098116,91.961949
D,reference,PULSE1,195,5.177034883,-4.47428162,0.702753263,38.8847654375
E,reference,PULSE1,195,10.94208232,-8.358178028,2.583904289,97.7144575625
F,reference,PULSE1,195,11.43859416,-11.20612332,0.23247084,102.789011625
A,pulsed,PULSE1,196,7.57043389,-10.36119112,-2.790757229,32.03500279166666
B,pulsed,PULSE1,196,6.080838573,-6.559567738,-0.478729164,57.33536572916667
C,pulsed,PULSE1,196,6.21108708,-5.511522141,0.699564939,87.3011193125
D,reference,PULSE1,196,3.509789258,-6.630286103,-3.120496845,48.079436
E,reference,PULSE1,196,13.10150399,-15.09417162,-1.992667627,104.24531016666667
F,reference,PULSE1,196,9.703678934,-15.83671492,-6.133035982,85.49461954166667
A,pulsed,PULSE1,197,4.570530324,-8.6706246320000009,-4.100094308,16.744345541666668
B,pulsed,PULSE1,197,4.611819254,-6.990103308,-2.378284053,46.7664985625
C,pulsed,PULSE1,197,5.95253474,-9.02852908,-3.07599434,65.81802352083334
D,reference,PULSE1,197,4.35770493,-9.630005733,-5.272300803,26.20169877083333
E,reference,PULSE1,197,10.10042547,-15.21452029,-5.114094828,58.385176395833334
F,reference,PULSE1,197,12.69039996,-17.5377103,-4.847310342,62.07865245833333
A,pulsed,PULSE1,198,7.399563927,-5.058475415,2.341088512,30.051105979166667
