pond_id,doy,GPP,R,NEP
F,175,8.6982342,-5.281521722,3.416712478
F,176,8.891586782,-11.11219846,-2.220611679
F,177,1.400726438,2.461233339,3.861959777
F,178,0.824143388,2.53672765,3.360871038
F,179,2.870304392,-3.484472497,-0.614168105
F,180,9.158075589,-10.29854391,-1.140468324
F,181,5.928796759,-6.978161094,-1.049364335
F,182,3.391995486,-2.989668445,0.402327041
F,183,6.667684296,-1.860332996,4.8073513
F,184,3.281717758,-4.750053741,-1.468335983
F,185,8.143016847,-6.752840762,1.390176084
F,186,4.893712141,-4.492959054,0.400753088
F,187,7.467891199,-7.355347364,0.112543835
F,188,6.457324121,-3.072024256,3.385299865
F,189,9.081200176,-10.82573505,-1.74453487
F,190,9.5115889,-7.287078252,2.224510648
F,191,7.290730745,-13.68959309,-6.398862348
F,193,7.045330812,-8.167330768,-1.121999955
F,194,11.05107836,-10.57693466,0.474143703
F,195,11.43859416,-11.20612332,0.23247084
F,196,9.703678934,-15.83671492,-6.133035982
F,197,12.69039996,-17.5377103,-4.847310342
F,198,13.63487454,-14.74309187,-1.108217332
F,199,7.454160906,-9.892707602,-2.438546697
F,200,7.692293585,-10.23850972,-2.546216137
F,201,2.778534822,-2.832084133,-0.053549311
F,202,9.812713412,-13.17979654,-3.36708313
F,203,9.242506633,-9.496119893,-0.25361326
F,204,14.90355592,-16.40195572,-1.498399798
F,205,13.54451169,-16.90858205,-3.364070361
F,206,8.267018372,-10.38903805,-2.122019676
F,207,5.747823296,-8.653069808,-2.905246511
F,208,8.13389251,-15.5291239,-7.395231393
F,209,7.076576221,-7.148563481,-0.07198726
F,210,9.72083278,-9.947311684,-0.226478905
F,211,1.607935274,-6.423507275,-4.815572001
F,212,8.230573028,-9.460435684,-1.229862656
F,213,10.95724798,-14.74388431,-3.786636328
F,214,9.33882194,-14.16369217,-4.824870228
F,215,9.890756993,-9.781590767,0.109166226
F,216,10.96635841,-15.91284557,-4.946487158
F,217,-0.074740863,-2.502498062,-2.577238925
F,218,2.053716211,-8.021639125,-5.967922914
F,219,4.308977111,-8.430895871,-4.12191876
F,220,3.000764682,-11.14302036,-8.142255674
F,221,3.276566161,-4.165055288,-0.888489127
F,222,1.220493184,-3.705430148,-2.484936964
F,223,3.490515703,-6.598650602,-3.108134898
F,224,-29.38157906,41.33530215,11.95372309
F,225,1.624143635,-3.338329328,-1.714185693
F,226,1.811282514,-3.040524818,-1.229242304
F,227,2.460444302,-4.554720195,-2.094275893
F,228,7.572951262,-11.1171143,-3.54416304
F,229,3.991595371,-5.45264097,-1.461045599
F,230,7.876616554,-7.829074198,0.047542356
F,231,4.194323335,-6.16806087,-1.973737534
F,232,7.694015045,-8.875713168,-1.181698123
F,233,2.493069238,-3.62959481,-1.136525572
F,234,7.47112202,-8.367294283,-0.896172263
F,235,5.935668254,-6.820109176,-0.884440922
F,236,9.16123257,-10.12434857,-0.963115998
F,237,4.01946751,-7.041552058,-3.022084549
F,238,6.42823722,-7.57674028,-1.14850306
F,239,8.183489167,-9.99855578,-1.815066613
F,240,8.971005348,-9.878526525,-0.907521178
