pond_id,treatment,period,doy,dosat_dailyavg
B,pulsed,PULSE2,224,69.86508542
C,pulsed,PULSE2,224,79.99557785
D,reference,PULSE2,224,44.63718171
E,reference,PULSE2,224,39.45771131
F,reference,PULSE2,224,24.06363248
A,pulsed,PULSE2,225,57.62072885
B,pulsed,PULSE2,225,68.64334746
C,pulsed,PULSE2,225,80.61335681
D,reference,PULSE2,225,65.92291065
E,reference,PULSE2,225,40.8063296
F,reference,PULSE2,225,29.78676773
A,pulsed,PULSE2,226,59.90615067
B,pulsed,PULSE2,226,70.34007415
C,pulsed,PULSE2,226,100.5757033
D,reference,PULSE2,226,87.2020411
E,reference,PULSE2,226,41.61516773
F,reference,PULSE2,226,40.0608976
A,pulsed,PULSE2,227,74.42598533
B,pulsed,PULSE2,227,64.61166027
C,pulsed,PULSE2,227,96.58659983
D,reference,PULSE2,227,92.7488946
E,reference,PULSE2,227,50.43225252
F,reference,PULSE2,227,46.42069642
A,pulsed,PULSE2,228,69.96514633
B,pulsed,PULSE2,228,59.68571404
C,pulsed,PULSE2,228,89.6709674
D,reference,PULSE2,228,80.71381727
E,reference,PULSE2,228,58.25787483
F,reference,PULSE2,228,50.63483592
A,pulsed,PULSE2,229,52.2954849
B,pulsed,PULSE2,229,48.26511071
C,pulsed,PULSE2,229,72.0363829
D,reference,PULSE2,229,61.31227715
E,reference,PULSE2,229,35.58806002
F,reference,PULSE2,229,47.84990083
A,pulsed,PULSE2,230,50.82714263
B,pulsed,PULSE2,230,46.89576592
C,pulsed,PULSE2,230,77.5309259
D,reference,PULSE2,230,61.2084004
E,reference,PULSE2,230,31.16343342
F,reference,PULSE2,230,59.71235221
A,pulsed,PULSE2,231,44.71149748
B,pulsed,PULSE2,231,42.10115933
C,pulsed,PULSE2,231,68.64315492
D,reference,PULSE2,231,42.83183025
E,reference,PULSE2,231,19.20026771
F,reference,PULSE2,231,46.06792046
A,pulsed,PULSE2,232,39.48062181
B,pulsed,PULSE2,232,47.71470906
C,pulsed,PULSE2,232,79.37476985
D,reference,PULSE2,232,52.59420079
E,reference,PULSE2,232,20.44159165
F,reference,PULSE2,232,64.28398275
