"sample_id","pond_id","doy","vial","lot_number","sample_type","run","start_time","end_time","vial_number","toc_ppb","ic_ppb","tc_ppb","run_date","mean_blank_toc_ppb","mean_blank_ic_ppb","mean_blank_tc_ppb","doc_ppb","dic_ppb","dc_ppb"
"B209","B",209,"B209","E20","Sample",1,2022-01-23 06:34:16,2022-01-23 07:02:26,"85",27100,205,27300,"Jan. 21",170.225,81.95,252.5,26929.775,123.05,27047.5
"B210","B",210,"B210","E20","Sample",1,2022-01-23 07:02:39,2022-01-23 07:30:50,"86",24800,203,25000,"Jan. 21",170.225,81.95,252.5,24629.775,121.05,24747.5
"B211","B",211,"B211","E20","Sample",1,2022-01-23 07:31:03,2022-01-23 07:59:13,"87",18500,204,18700,"Jan. 21",170.225,81.95,252.5,18329.775,122.05,18447.5
"B212","B",212,"B212","E20","Sample",1,2022-01-23 07:59:27,2022-01-23 08:27:35,"88",18400,201,18600,"Jan. 21",170.225,81.95,252.5,18229.775,119.05,18347.5
"B213","B",213,"B213","E20","Sample",1,2022-01-23 08:27:48,2022-01-23 08:55:56,"89",16400,199,16600,"Jan. 21",170.225,81.95,252.5,16229.775,117.05,16347.5
"B216","B",216,"B216","E20","Sample",1,2022-01-23 08:56:10,2022-01-23 09:24:17,"90",21600,201,21800,"Jan. 21",170.225,81.95,252.5,21429.775,119.05,21547.5
"B218","B",218,"B218","E20","Sample",1,2022-01-23 09:24:33,2022-01-23 09:52:41,"91",26800,202,27000,"Jan. 21",170.225,81.95,252.5,26629.775,120.05,26747.5
"B220","B",220,"B220","E20","Sample",1,2022-01-23 10:21:18,2022-01-23 10:49:36,"93",24600,200,24800,"Jan. 21",170.225,81.95,252.5,24429.775,118.05,24547.5
"B223","B",223,"B223","E20","Sample",1,2022-01-23 10:49:49,2022-01-23 11:17:58,"94",24200,198,24400,"Jan. 21",170.225,81.95,252.5,24029.775,116.05,24147.5
"B225","B",225,"B225","E20","Sample",1,2022-01-23 11:18:12,2022-01-23 11:46:21,"95",32700,202,32900,"Jan. 21",170.225,81.95,252.5,32529.775,120.05,32647.5
"B227","B",227,"B227","E20","Sample",1,2022-01-23 11:46:34,2022-01-23 12:14:45,"96",15700,201,15900,"Jan. 21",170.225,81.95,252.5,15529.775,119.05,15647.5
"B230","B",230,"B230","E20","Sample",1,2022-01-23 12:14:59,2022-01-23 12:43:06,"97",20700,206,20900,"Jan. 21",170.225,81.95,252.5,20529.775,124.05,20647.5
"B232","B",232,"B232","E20","Sample",1,2022-01-23 12:43:19,2022-01-23 13:11:27,"98",22000,205,22200,"Jan. 21",170.225,81.95,252.5,21829.775,123.05,21947.5
"B233","B",233,"3","B","Sample",2,2022-01-23 15:39:04,2022-01-23 16:07:23,"3",17500,200,17700,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,17342.9555555556,104.433333333333,17447.3333333333
"B236","B",236,"4","B","Sample",2,2022-01-23 16:07:36,2022-01-23 16:35:44,"4",22800,197,23000,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,22642.9555555556,101.433333333333,22747.3333333333
